LLM 总参数量: 26194432
LoRA 参数量: 262144
LoRA 参数占比: 1.00%
Epoch:[1/50](0/3) loss:2.873 lr:0.000055000000 epoch_Time:0.0min:
Epoch:[2/50](0/3) loss:2.857 lr:0.000054950668 epoch_Time:0.0min:
Epoch:[3/50](0/3) loss:2.836 lr:0.000054802868 epoch_Time:0.0min:
Epoch:[4/50](0/3) loss:2.815 lr:0.000054557181 epoch_Time:0.0min:
Epoch:[5/50](0/3) loss:2.793 lr:0.000054214579 epoch_Time:0.0min:
Epoch:[6/50](0/3) loss:2.770 lr:0.000053776413 epoch_Time:0.0min:
Epoch:[7/50](0/3) loss:2.744 lr:0.000053244412 epoch_Time:0.0min:
Epoch:[8/50](0/3) loss:2.716 lr:0.000052620676 epoch_Time:0.0min:
Epoch:[9/50](0/3) loss:2.686 lr:0.000051907667 epoch_Time:0.0min:
Epoch:[10/50](0/3) loss:2.654 lr:0.000051108198 epoch_Time:0.0min:
Epoch:[11/50](0/3) loss:2.620 lr:0.000050225425 epoch_Time:0.0min:
Epoch:[12/50](0/3) loss:2.584 lr:0.000049262831 epoch_Time:0.0min:
Epoch:[13/50](0/3) loss:2.546 lr:0.000048224216 epoch_Time:0.0min:
Epoch:[14/50](0/3) loss:2.508 lr:0.000047113678 epoch_Time:0.0min:
Epoch:[15/50](0/3) loss:2.468 lr:0.000045935600 epoch_Time:0.0min:
Epoch:[16/50](0/3) loss:2.428 lr:0.000044694631 epoch_Time:0.0min:
Epoch:[17/50](0/3) loss:2.387 lr:0.000043395670 epoch_Time:0.0min:
Epoch:[18/50](0/3) loss:2.347 lr:0.000042043842 epoch_Time:0.0min:
Epoch:[19/50](0/3) loss:2.308 lr:0.000040644482 epoch_Time:0.0min:
Epoch:[20/50](0/3) loss:2.270 lr:0.000039203114 epoch_Time:0.0min:
Epoch:[21/50](0/3) loss:2.232 lr:0.000037725425 epoch_Time:0.0min:
Epoch:[22/50](0/3) loss:2.197 lr:0.000036217247 epoch_Time:0.0min:
Epoch:[23/50](0/3) loss:2.162 lr:0.000034684533 epoch_Time:0.0min:
Epoch:[24/50](0/3) loss:2.130 lr:0.000033133331 epoch_Time:0.0min:
Epoch:[25/50](0/3) loss:2.098 lr:0.000031569763 epoch_Time:0.0min:
Epoch:[26/50](0/3) loss:2.069 lr:0.000030000000 epoch_Time:0.0min:
Epoch:[27/50](0/3) loss:2.042 lr:0.000028430237 epoch_Time:0.0min:
Epoch:[28/50](0/3) loss:2.016 lr:0.000026866669 epoch_Time:0.0min:
Epoch:[29/50](0/3) loss:1.992 lr:0.000025315467 epoch_Time:0.0min:
Epoch:[30/50](0/3) loss:1.970 lr:0.000023782753 epoch_Time:0.0min:
Epoch:[31/50](0/3) loss:1.949 lr:0.000022274575 epoch_Time:0.0min:
Epoch:[32/50](0/3) loss:1.930 lr:0.000020796886 epoch_Time:0.0min:
Epoch:[33/50](0/3) loss:1.912 lr:0.000019355518 epoch_Time:0.0min:
Epoch:[34/50](0/3) loss:1.896 lr:0.000017956158 epoch_Time:0.0min:
Epoch:[35/50](0/3) loss:1.881 lr:0.000016604330 epoch_Time:0.0min:
Epoch:[36/50](0/3) loss:1.867 lr:0.000015305369 epoch_Time:0.0min:
Epoch:[37/50](0/3) loss:1.854 lr:0.000014064400 epoch_Time:0.0min:
Epoch:[38/50](0/3) loss:1.842 lr:0.000012886322 epoch_Time:0.0min:
Epoch:[39/50](0/3) loss:1.832 lr:0.000011775784 epoch_Time:0.0min:
Epoch:[40/50](0/3) loss:1.822 lr:0.000010737169 epoch_Time:0.0min:
Epoch:[41/50](0/3) loss:1.813 lr:0.000009774575 epoch_Time:0.0min:
Epoch:[42/50](0/3) loss:1.805 lr:0.000008891802 epoch_Time:0.0min:
Epoch:[43/50](0/3) loss:1.798 lr:0.000008092333 epoch_Time:0.0min:
Epoch:[44/50](0/3) loss:1.791 lr:0.000007379324 epoch_Time:0.0min:
Epoch:[45/50](0/3) loss:1.785 lr:0.000006755588 epoch_Time:0.0min:
Epoch:[46/50](0/3) loss:1.779 lr:0.000006223587 epoch_Time:0.0min:
Epoch:[47/50](0/3) loss:1.774 lr:0.000005785421 epoch_Time:0.0min:
Epoch:[48/50](0/3) loss:1.769 lr:0.000005442819 epoch_Time:0.0min:
Epoch:[49/50](0/3) loss:1.764 lr:0.000005197132 epoch_Time:0.0min:
Epoch:[50/50](0/3) loss:1.760 lr:0.000005049332 epoch_Time:0.0min:
