LLM 总参数量: 26194432
LoRA 参数量: 262144
LoRA 参数占比: 1.00%
Epoch:[1/50](0/790) loss:2.041 lr:0.000055000000 epoch_Time:7.0min:
Epoch:[1/50](100/790) loss:1.915 lr:0.000054999209 epoch_Time:1.0min:
Epoch:[1/50](200/790) loss:1.882 lr:0.000054996837 epoch_Time:1.0min:
Epoch:[1/50](300/790) loss:1.812 lr:0.000054992884 epoch_Time:1.0min:
Epoch:[1/50](400/790) loss:1.940 lr:0.000054987350 epoch_Time:1.0min:
Epoch:[1/50](500/790) loss:1.884 lr:0.000054980235 epoch_Time:1.0min:
Epoch:[1/50](600/790) loss:1.922 lr:0.000054971540 epoch_Time:1.0min:
Epoch:[1/50](700/790) loss:1.905 lr:0.000054961265 epoch_Time:1.0min:
Epoch:[2/50](0/790) loss:1.790 lr:0.000054950668 epoch_Time:2.0min:
Epoch:[2/50](100/790) loss:1.815 lr:0.000054937394 epoch_Time:1.0min:
Epoch:[2/50](200/790) loss:1.816 lr:0.000054922543 epoch_Time:1.0min:
Epoch:[2/50](300/790) loss:1.747 lr:0.000054906115 epoch_Time:1.0min:
Epoch:[2/50](400/790) loss:1.884 lr:0.000054888112 epoch_Time:1.0min:
Epoch:[2/50](500/790) loss:1.825 lr:0.000054868534 epoch_Time:1.0min:
Epoch:[2/50](600/790) loss:1.879 lr:0.000054847383 epoch_Time:1.0min:
Epoch:[2/50](700/790) loss:1.873 lr:0.000054824660 epoch_Time:1.0min:
Epoch:[3/50](0/790) loss:1.748 lr:0.000054802868 epoch_Time:2.0min:
Epoch:[3/50](100/790) loss:1.776 lr:0.000054777163 epoch_Time:1.0min:
Epoch:[3/50](200/790) loss:1.786 lr:0.000054749891 epoch_Time:1.0min:
Epoch:[3/50](300/790) loss:1.713 lr:0.000054721053 epoch_Time:1.0min:
Epoch:[3/50](400/790) loss:1.849 lr:0.000054690651 epoch_Time:1.0min:
Epoch:[3/50](500/790) loss:1.790 lr:0.000054658688 epoch_Time:1.0min:
Epoch:[3/50](600/790) loss:1.853 lr:0.000054625165 epoch_Time:1.0min:
Epoch:[3/50](700/790) loss:1.853 lr:0.000054590084 epoch_Time:1.0min:
Epoch:[4/50](0/790) loss:1.722 lr:0.000054557181 epoch_Time:2.0min:
Epoch:[4/50](100/790) loss:1.750 lr:0.000054519147 epoch_Time:1.0min:
Epoch:[4/50](200/790) loss:1.766 lr:0.000054479562 epoch_Time:1.0min:
Epoch:[4/50](300/790) loss:1.689 lr:0.000054438428 epoch_Time:1.0min:
Epoch:[4/50](400/790) loss:1.824 lr:0.000054395748 epoch_Time:1.0min:
Epoch:[4/50](500/790) loss:1.766 lr:0.000054351526 epoch_Time:1.0min:
Epoch:[4/50](600/790) loss:1.835 lr:0.000054305762 epoch_Time:1.0min:
Epoch:[4/50](700/790) loss:1.838 lr:0.000054258462 epoch_Time:1.0min:
Epoch:[5/50](0/790) loss:1.702 lr:0.000054214579 epoch_Time:1.0min:
Epoch:[5/50](100/790) loss:1.730 lr:0.000054164365 epoch_Time:1.0min:
Epoch:[5/50](200/790) loss:1.750 lr:0.000054112623 epoch_Time:1.0min:
Epoch:[5/50](300/790) loss:1.671 lr:0.000054059356 epoch_Time:1.0min:
