2025-03-27 08:18:29,003 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Configure stats pid to 2873608
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Loading settings from /home/ckx/.config/wandb/settings
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Loading settings from /home/ckx/minimind/wandb/settings
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train_lora.py', 'program_abspath': '/home/ckx/minimind/train_lora.py', 'program': '/home/ckx/minimind/train_lora.py'}
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_init.py:_log_setup():532] Logging user logs to /home/ckx/minimind/wandb/run-20250327_081829-z3k4guev/logs/debug.log
2025-03-27 08:18:29,004 INFO    MainThread:2873608 [wandb_init.py:_log_setup():533] Logging internal logs to /home/ckx/minimind/wandb/run-20250327_081829-z3k4guev/logs/debug-internal.log
2025-03-27 08:18:29,005 INFO    MainThread:2873608 [wandb_init.py:init():617] calling init triggers
2025-03-27 08:18:29,005 INFO    MainThread:2873608 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {}
2025-03-27 08:18:29,005 INFO    MainThread:2873608 [wandb_init.py:init():667] starting backend
2025-03-27 08:18:29,005 INFO    MainThread:2873608 [wandb_init.py:init():671] sending inform_init request
2025-03-27 08:18:29,007 INFO    MainThread:2873608 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-27 08:18:29,008 INFO    MainThread:2873608 [wandb_init.py:init():684] backend started and connected
2025-03-27 08:18:29,009 INFO    MainThread:2873608 [wandb_init.py:init():779] updated telemetry
2025-03-27 08:18:29,013 INFO    MainThread:2873608 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2025-03-27 08:18:29,657 INFO    MainThread:2873608 [wandb_init.py:init():863] starting run threads in backend
2025-03-27 08:18:29,762 INFO    MainThread:2873608 [wandb_run.py:_console_start():2465] atexit reg
2025-03-27 08:18:29,762 INFO    MainThread:2873608 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2025-03-27 08:18:29,762 INFO    MainThread:2873608 [wandb_run.py:_redirect():2378] Wrapping output streams.
2025-03-27 08:18:29,762 INFO    MainThread:2873608 [wandb_run.py:_redirect():2403] Redirects installed.
2025-03-27 08:18:29,763 INFO    MainThread:2873608 [wandb_init.py:init():907] run started, returning control to user process
2025-03-27 09:11:29,245 WARNING MsgRouterThr:2873608 [router.py:message_loop():77] message_loop has been closed
